DATE,ALTUSC2POP,Inc%
1/1/2012,198.884,0
1/1/2013,201.192,0.011604755
1/1/2014,203.228,0.010119687
1/1/2015,204.953,0.008488004
1/1/2016,206.737,0.008704435
1/1/2017,207.849,0.005378815
1/1/2018,208.607,0.003646878
1/1/2019,210.321,0.008216407
1/1/2020,227.153,0.080030049
1/1/2021,227.007,-0.000642739
