DATE,MHIAL01125A052NCEN,Inc%
1/1/2012,41495,0
1/1/2013,45959,0.107579226
1/1/2014,46892,0.020300703
1/1/2015,47868,0.020813785
1/1/2016,47483,-0.008042951
1/1/2017,51644,0.087631363
1/1/2018,52557,0.017678724
1/1/2019,52307,-0.00475674
1/1/2020,56610,0.082264324
1/1/2021,57508,0.015862922
