Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
2743,522412489,10194582,144278,North of River,(01) North of the River City,Highgrove,Rock Quarry,Northridge,Northridge,589900,0,2950,2018,0,4,3.5,0.5,0,,0,1,1,0,2,1,1,2950,2,4,7/12/2021,2021,7,9,6
2744,522562936,10197019,144375,County South,(09) West Tuscaloosa County,Wesley Chapel,Myrtlewood,Sipsey Valley,Sipsey Valley,300000,1.86,2126,2007,0,2,2,0,0,,0,1,1,0,2,1,0,2126,1,4,7/12/2021,2021,7,7,6
2745,522594718,10198462,144420,East Tuscaloosa,(03) East Tuscaloosa City,Mayfair,Arcadia,Eastwood,Bryant,110000,0,1794,1959,0,2,2,0,0,,0,1,0,1,1,1,0,1794,1,3,8/20/2021,2021,8,4,4
2746,522694209,10199578,144451,Northport City,(08) North Tuscaloosa County,Grand Pointe,Huntington,Echols,Tuscaloosa County,350000,0,2167,2021,0,3,3,0,0,,0,1,1,0,0,1,0,2167,1,4,7/23/2021,2021,7,6,5
2747,522824101,10201017,144493,North of River,(01) North of the River City,Woodridge,Verner,Northridge,Northridge,311100,0,2418,1978,0,3,2.5,0.5,0,,0,0,0,0,0,1,1,2418,1,4,6/11/2021,2021,6,7,6
2749,522911420,10200786,144482,South Tuscaloosa,(11) South Tuscaloosa County,Village At Magnolia,Englewood,Hillcrest Jr,Hillcrest,164577,0,1278,2005,0,2,2,0,0,,0,0,0,0,0,1,0,1278,1,3,7/23/2021,2021,7,6,5
2750,522917243,10201522,144509,South Tuscaloosa,(05) South East Tuscaloosa City,Windsong South,Southview,Eastwood,Bryant,187200,0,1554,1996,0,2,2,0,0,,0,1,1,0,2,1,1,1554,1,3,7/20/2021,2021,7,3,4
2751,522921199,10201536,144512,South Tuscaloosa,(11) South Tuscaloosa County,Remington,Englewood,Hillcrest Jr,Hillcrest,355052,0,2480,2021,0,3,2.5,0.5,0,,0,1,0,0,0,1,0,2480,1,4,6/14/2021,2021,6,6,5
2752,523072099,10202192,144536,Northport City,(06) Northport City,Harper,Crestmont,Echols,Tuscaloosa County,188000,0,1344,1972,0,2,2,0,0,,0,1,1,0,2,0,0,1344,1,3,7/23/2021,2021,7,5,5
2753,523075319,10202117,144532,County South,(11) South Tuscaloosa County,Kings Ridge,Big Sandy,Hillcrest Jr,Hillcrest,275000,0,2672,2010,0,2,2,0,0,,0,1,1,0,2,1,0,2672,0,4,7/20/2021,2021,7,6,5
2754,523150890,10204348,144596,County South,(10) East Tuscaloosa County,Stoneridge,Brookwood,Brookwood,Brookwood,168000,0.3,1122,2007,0,2,2,0,0,,0,1,0,1,2,0,0,1122,1,3,7/23/2021,2021,7,4,4
2755,523152027,10203409,144569,South Tuscaloosa,(05) South East Tuscaloosa City,East Lake,Woodland Forest,Eastwood,Bryant,220000,0,1823,2015,0,2,2,0,0,,0,1,1,0,0,1,0,1823,1,3,7/30/2021,2021,7,3,4
2756,523222178,10204818,144611,County North,(08) North Tuscaloosa County,Wenwood,Walker,Northside,Northside,175000,0,1184,2017,0,2,2,0,0,,0,1,1,0,2,0,0,1184,1,3,7/21/2021,2021,7,7,6
2758,523330918,10205875,144649,Northport City,(06) Northport City,Northwood Lake,Vestavia,Collins Riverside,Tuscaloosa County,245000,1.25,2506,1985,0,2,2,0,0,,0,1,1,0,2,1,0,2506,2,4,8/3/2021,2021,8,7,3
2759,523345903,10205382,144630,Northport PJ,(06) Northport City,Trestle Square,Flatwoods,Collins Riverside,Tuscaloosa County,266395,0,2175,2021,0,3,2.5,0.5,0,,0,1,1,0,2,0,0,2175,2,3,10/4/2021,2021,10,4,3
2760,525591764,10208095,144699,Northport City,(08) North Tuscaloosa County,Huntington Place,Huntington,Echols,Tuscaloosa County,286000,0,2273,1999,0,3,2.5,0.5,0,,0,1,0,0,2,1,0,2273,2,4,8/13/2021,2021,8,6,5
2761,526207665,10209578,144748,Northport City,(08) North Tuscaloosa County,Lindsay Place,Huntington,Echols,Tuscaloosa County,352000,0,2400,2015,0,3,3,0,0,,0,1,1,0,2,1,1,2400,1,4,8/13/2021,2021,8,6,5
